experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,s_trials,laura_simulations,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
S_vs_Laura_alternating_50,S_vs_Laura_game_019,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,19,2045,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,8,15.00527319998946,0.8801839000079781,3.5207356000319123,4
S_vs_Laura_alternating_50,S_vs_Laura_game_019,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,19,2045,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,8,15.00527319998946,2.8710720999952173,11.48428839998087,4
S_vs_Laura_alternating_50,S_vs_Laura_game_020,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,20,2046,Agente con rollouts heuristicos,50,100,agent_2,Agente Laura MCTS,loss,-1,42,31.757173600024544,1.047975004764296,22.007475100050215,21
S_vs_Laura_alternating_50,S_vs_Laura_game_020,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,20,2046,Agente con rollouts heuristicos,50,100,agent_2,Agente Laura MCTS,win,1,42,31.757173600024544,0.4641172571351663,9.746462399838492,21
S_vs_Laura_alternating_50,S_vs_Laura_game_021,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,21,2047,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,26,30.96768920001341,0.5882795384789531,7.64763400022639,13
S_vs_Laura_alternating_50,S_vs_Laura_game_021,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,21,2047,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,26,30.96768920001341,1.7937261000042781,23.318439300055616,13
S_vs_Laura_alternating_50,S_vs_Laura_game_022,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,22,2048,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,7,13.400022499961779,2.769659799989313,11.078639199957252,4
S_vs_Laura_alternating_50,S_vs_Laura_game_022,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,22,2048,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,7,13.400022499961779,0.7736675666916805,2.3210027000750415,3
S_vs_Laura_alternating_50,S_vs_Laura_game_023,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,23,2049,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,26,32.17898719996447,0.5779117461687957,7.512852700194344,13
S_vs_Laura_alternating_50,S_vs_Laura_game_023,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,23,2049,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,26,32.17898719996447,1.897288969229871,24.664756599988323,13
