experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,laura_simulations,mario_agent,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_036,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,36,2062,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.699813499988522,0.004210526670794934,0.06315790006192401,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_037,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,37,2063,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.758709000016097,0.003794939993531443,0.07589879987062886,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_037,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,37,2063,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.758709000016097,0.5340239699988161,10.68047939997632,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_038,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,38,2064,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.682227200013585,0.6411778133362531,9.617667200043797,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_038,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,38,2064,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.682227200013585,0.004201473334493736,0.06302210001740605,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_039,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,39,2065,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.602912099973764,0.00376033999491483,0.0752067998982966,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_039,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,39,2065,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.602912099973764,0.5262718850019155,10.52543770003831,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_040,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,40,2066,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.720395300013479,0.6437508933284941,9.656263399927411,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_040,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,40,2066,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.720395300013479,0.004175133327953518,0.06262699991930276,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_041,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,41,2067,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.573904200049583,0.0037181449966738,0.074362899933476,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_041,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,41,2067,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.573904200049583,0.5248619850055547,10.497239700111095,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_042,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,42,2068,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.602306100015994,0.6359612333277861,9.539418499916792,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_042,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,42,2068,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.602306100015994,0.0040944933386829994,0.06141740008024499,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_043,Agente Mario,Agente Laura MCTS,Agente Mario,agent_1,Agente Laura MCTS,first,0,100,0,43,2069,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,loss,-1,40,10.53854759997921,0.0037591800006339326,0.07518360001267865,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_043,Agente Mario,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente Mario,second,100,0,100,43,2069,Agente Mario,100,Winner,agent_2,Agente Laura MCTS,win,1,40,10.53854759997921,0.5230534600006649,10.461069200013299,20
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_044,Agente Laura MCTS,Agente Mario,Agente Laura MCTS,agent_1,Agente Mario,first,100,0,100,44,2070,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,loss,-1,30,9.65661230002297,0.6394647266638155,9.591970899957232,15
Laura_vs_Mario_alternating_50,Laura_vs_Mario_game_044,Agente Laura MCTS,Agente Mario,Agente Mario,agent_2,Agente Laura MCTS,second,0,100,0,44,2070,Agente Laura MCTS,100,Winner,agent_2,Agente Mario,win,1,30,9.65661230002297,0.00420955332616965,0.06314329989254475,15
