experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_25,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,25,2051,agent_1,Agente con rollouts aleatorios,loss,-1,23,0.3895295000111218,8.266363610428843e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_26,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,26,2052,agent_2,Random,loss,-1,20,0.3231825999973807,0.0311369099974399
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_26,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,26,2052,agent_2,Random,win,1,20,0.3231825999973807,9.359999094158412e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_27,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,27,2053,agent_1,Agente con rollouts aleatorios,win,1,15,0.3323048999882303,0.0406644375034375
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_27,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,27,2053,agent_1,Agente con rollouts aleatorios,loss,-1,15,0.3323048999882303,0.0001097428529257
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_28,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,28,2054,agent_1,Agente con rollouts aleatorios,win,1,19,0.3845211000007111,0.0372739299986278
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_28,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,28,2054,agent_1,Agente con rollouts aleatorios,loss,-1,19,0.3845211000007111,0.0001036888926238
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_29,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,29,2055,agent_2,Random,loss,-1,14,0.2601577999885194,0.036221200001559
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_29,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,29,2055,agent_2,Random,win,1,14,0.2601577999885194,0.0001122999944657
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_30,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,30,2056,agent_1,Agente con rollouts aleatorios,win,1,25,0.504500500013819,0.0376508230782257
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_30,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,30,2056,agent_1,Agente con rollouts aleatorios,loss,-1,25,0.504500500013819,0.0001041666691889
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_31,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,31,2057,agent_1,Agente con rollouts aleatorios,win,1,9,0.17038880000473,0.0335048199980519
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_31,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,31,2057,agent_1,Agente con rollouts aleatorios,loss,-1,9,0.17038880000473,6.782499986002222e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_32,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,32,2058,agent_1,Agente con rollouts aleatorios,win,1,21,0.3371561999956611,0.0297679636410479
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_32,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,32,2058,agent_1,Agente con rollouts aleatorios,loss,-1,21,0.3371561999956611,7.336999697145074e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_33,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,33,2059,agent_2,Random,loss,-1,26,0.3507317999901715,0.0259185076932995
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_33,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,33,2059,agent_2,Random,win,1,26,0.3507317999901715,6.90692350662385e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_34,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,34,2060,agent_1,Agente con rollouts aleatorios,win,1,13,0.1990180999855511,0.0278396571437562
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_34,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,34,2060,agent_1,Agente con rollouts aleatorios,loss,-1,13,0.1990180999855511,6.33999928444003e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_35,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,35,2061,agent_1,Agente con rollouts aleatorios,win,1,21,0.2528203999972902,0.0221039636420424
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_35,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,35,2061,agent_1,Agente con rollouts aleatorios,loss,-1,21,0.2528203999972902,6.705000414513052e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_36,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,36,2062,agent_1,Agente con rollouts aleatorios,win,1,41,0.5135377999977209,0.0227026809505852
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_36,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,36,2062,agent_1,Agente con rollouts aleatorios,loss,-1,41,0.5135377999977209,7.376500288955868e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_37,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,37,2063,agent_2,Random,loss,-1,18,0.2026041999924928,0.0216485555510088
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_37,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,37,2063,agent_2,Random,win,1,18,0.2026041999924928,9.868888365518716e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_38,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,38,2064,agent_1,Agente con rollouts aleatorios,win,1,17,0.3089316999830771,0.033559355554947
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_38,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,38,2064,agent_1,Agente con rollouts aleatorios,loss,-1,17,0.3089316999830771,8.237500151153654e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_39,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,39,2065,agent_2,Random,loss,-1,24,0.3984005999809596,0.0320381500011232
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_39,Agente con rollouts aleatorios,Random,Random,agent_2,Agente con rollouts aleatorios,second,,1.0,1,39,2065,agent_2,Random,win,1,24,0.3984005999809596,8.338333524685974e-05
Agente con rollouts aleatorios_vs_Random_first_trials_1,Agente con rollouts aleatorios_vs_Random_first_trials_1_game_40,Agente con rollouts aleatorios,Random,Agente con rollouts aleatorios,agent_1,Random,first,1.0,,1,40,2066,agent_2,Random,loss,-1,24,0.3650629000039771,0.0294239833286458
